_target_,data,dataset,device_id,files,model,model_name,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,predictions,exception,data._target_,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.art._target_,model.art.initialize.nb_classes,model.art.library,model.data._target_,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init._target_,model.init.algorithm,model.init.k,model.init.m,model.init.metric,model.init.name,model.init.precompute,model.init.symmetric,model.init.weights,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers,model.init.C,model.init.class_weight,model.init.fit_intercept,model.init.penalty,model.init.solver,model.init.tol,id,stage,model.init.gamma,model.init.kernel
deckard.base.experiment.Experiment,0259b4555fe35767fc004593b2962198,sms_spam,cpu,0259b4555fe35767fc004593b2962198,0259b4555fe35767fc004593b2962198,GzipKNN,0259b4555fe35767fc004593b2962198,0259b4555fe35767fc004593b2962198,0.87,4.49004093170166,cpu,1709319150.6288536,1709319137.3768334,13.55794884,0.1355794884,cpu,1709319137.3766863,1709319132.5084634,5.164471283,0.05164471283,sms_spam/reports/gzip_knn/100-0/train/0259b4555fe35767fc004593b2962198/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,0259b4555fe35767fc004593b2962198,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,deckard.base.model.ModelInitializer,brute,5.0,-1,Jaro,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,,,
deckard.base.experiment.Experiment,0262360a215653b07c68ef91948ca6aa,sms_spam,cpu,0262360a215653b07c68ef91948ca6aa,0262360a215653b07c68ef91948ca6aa,GzipKNN,0262360a215653b07c68ef91948ca6aa,0262360a215653b07c68ef91948ca6aa,0.87,4.49004093170166,cpu,1709320225.4559278,1709320212.8104014,13.039080628,0.13039080628,cpu,1709320212.8103223,1709320207.8474047,5.079979271,0.05079979271,sms_spam/reports/gzip_knn/100-0/train/0262360a215653b07c68ef91948ca6aa/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,0262360a215653b07c68ef91948ca6aa,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,deckard.base.model.ModelInitializer,ball_tree,5.0,-1,Pickle,gzip_classifier.GzipKNN,True,Symmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,,,
deckard.base.experiment.Experiment,02728b6ed2a9de5202c96e0f5c524726,sms_spam,cpu,02728b6ed2a9de5202c96e0f5c524726,02728b6ed2a9de5202c96e0f5c524726,GzipKNN,02728b6ed2a9de5202c96e0f5c524726,02728b6ed2a9de5202c96e0f5c524726,0.87,4.49004093170166,cpu,1709320017.3846478,1709320005.388486,12.307984827,0.12307984827,cpu,1709320005.388374,1709320000.5626032,4.99247576,0.0499247576,sms_spam/reports/gzip_knn/100-0/train/02728b6ed2a9de5202c96e0f5c524726/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,02728b6ed2a9de5202c96e0f5c524726,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,deckard.base.model.ModelInitializer,brute,5.0,-1,Hamming,gzip_classifier.GzipKNN,True,Symmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,,,
deckard.base.experiment.Experiment,0806f29fe71335e141a493b4607b4fa8,sms_spam,cpu,0806f29fe71335e141a493b4607b4fa8,0806f29fe71335e141a493b4607b4fa8,GzipKNN,0806f29fe71335e141a493b4607b4fa8,0806f29fe71335e141a493b4607b4fa8,0.87,4.49004093170166,cpu,1709318278.702278,1709318187.2190604,91.905708215,0.91905708215,cpu,1709318187.2189426,1709318181.9940777,5.572557636,0.05572557636,sms_spam/reports/gzip_knn/100-0/train/0806f29fe71335e141a493b4607b4fa8/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,0806f29fe71335e141a493b4607b4fa8,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,deckard.base.model.ModelInitializer,brute,11.0,-1,SeqRatio,gzip_classifier.GzipKNN,True,Symmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,,,
deckard.base.experiment.Experiment,0ae8b5017701c8ccdd26f4daa57d6b9a,sms_spam,cpu,0ae8b5017701c8ccdd26f4daa57d6b9a,0ae8b5017701c8ccdd26f4daa57d6b9a,GzipKNN,0ae8b5017701c8ccdd26f4daa57d6b9a,0ae8b5017701c8ccdd26f4daa57d6b9a,0.87,4.49004093170166,cpu,1709318808.4745414,1709318795.4252503,13.897593823,0.13897593823,cpu,1709318795.4251273,1709318790.5262232,5.269069005,0.05269069005,sms_spam/reports/gzip_knn/100-0/train/0ae8b5017701c8ccdd26f4daa57d6b9a/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,0ae8b5017701c8ccdd26f4daa57d6b9a,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,deckard.base.model.ModelInitializer,ball_tree,7.0,-1,Zstd,gzip_classifier.GzipKNN,True,Symmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,,,
deckard.base.experiment.Experiment,0e1c4e06944d384b0dea7fe0f2042ee8,sms_spam,cpu,0e1c4e06944d384b0dea7fe0f2042ee8,0e1c4e06944d384b0dea7fe0f2042ee8,GzipKNN,0e1c4e06944d384b0dea7fe0f2042ee8,0e1c4e06944d384b0dea7fe0f2042ee8,0.83,5.871591987609864,cpu,1709319996.39611,1709319983.881244,12.853228831,0.12853228831,cpu,1709319983.8811033,1709319978.888886,5.369251077,0.05369251077,sms_spam/reports/gzip_knn/100-0/train/0e1c4e06944d384b0dea7fe0f2042ee8/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,0e1c4e06944d384b0dea7fe0f2042ee8,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,deckard.base.model.ModelInitializer,brute,5.0,-1,Levenshtein,gzip_classifier.GzipKNN,True,Asymmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,,,
deckard.base.experiment.Experiment,0e6c869c24a9509fe3b23ef664c7c579,sms_spam,cpu,0e6c869c24a9509fe3b23ef664c7c579,0e6c869c24a9509fe3b23ef664c7c579,GzipKNN,0e6c869c24a9509fe3b23ef664c7c579,0e6c869c24a9509fe3b23ef664c7c579,0.9,3.453877639770508,cpu,1709320199.452587,1709320140.023913,60.315885346,0.60315885346,cpu,1709320140.0238347,1709320123.100863,17.708108159,0.17708108159,sms_spam/reports/gzip_knn/100-0/train/0e6c869c24a9509fe3b23ef664c7c579/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,0e6c869c24a9509fe3b23ef664c7c579,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,deckard.base.model.ModelInitializer,brute,7.0,-1,Lzma,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,,,
deckard.base.experiment.Experiment,0ec435ac096b86beeb69adcd8d920618,sms_spam,cpu,0ec435ac096b86beeb69adcd8d920618,0ec435ac096b86beeb69adcd8d920618,GzipKNN,0ec435ac096b86beeb69adcd8d920618,0ec435ac096b86beeb69adcd8d920618,0.88,4.144653167724609,cpu,1709319931.704947,1709319916.652029,16.023824771,0.16023824771,cpu,1709319916.6519566,1709319911.4026306,6.21412159,0.0621412159,sms_spam/reports/gzip_knn/100-0/train/0ec435ac096b86beeb69adcd8d920618/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,0ec435ac096b86beeb69adcd8d920618,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,deckard.base.model.ModelInitializer,ball_tree,3.0,-1,Gzip,gzip_classifier.GzipKNN,True,Asymmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,,,
deckard.base.experiment.Experiment,10e5d9c1b3e132dbfbc60a6d539fbd1e,sms_spam,cpu,10e5d9c1b3e132dbfbc60a6d539fbd1e,10e5d9c1b3e132dbfbc60a6d539fbd1e,GzipKNN,10e5d9c1b3e132dbfbc60a6d539fbd1e,10e5d9c1b3e132dbfbc60a6d539fbd1e,0.87,4.49004093170166,cpu,1709317660.6387937,1709317647.885435,13.151454334,0.13151454334,cpu,1709317647.885359,1709317643.0839972,4.922313483,0.04922313483,sms_spam/reports/gzip_knn/100-0/train/10e5d9c1b3e132dbfbc60a6d539fbd1e/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,10e5d9c1b3e132dbfbc60a6d539fbd1e,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,deckard.base.model.ModelInitializer,ball_tree,7.0,-1,Ratio,gzip_classifier.GzipKNN,True,Symmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,,,
deckard.base.experiment.Experiment,128261ecfb3be522a4bf2f42cab799db,sms_spam,cpu,128261ecfb3be522a4bf2f42cab799db,128261ecfb3be522a4bf2f42cab799db,GzipKNN,128261ecfb3be522a4bf2f42cab799db,128261ecfb3be522a4bf2f42cab799db,0.87,4.49004093170166,cpu,1709319167.989473,1709319155.5364666,12.7872573,0.127872573,cpu,1709319155.536323,1709319150.8997962,4.75748188,0.0475748188,sms_spam/reports/gzip_knn/100-0/train/128261ecfb3be522a4bf2f42cab799db/predictions.json,,deckard.base.data.Data,raw_data/sms-spam.csv,label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,sms_spam,128261ecfb3be522a4bf2f42cab799db,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/sms-spam.csv,0,True,True,100,100,label,deckard.base.model.ModelInitializer,brute,3.0,-1,Jaro,gzip_classifier.GzipKNN,True,Symmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN,,,,,,,,,,
